date,tenor,term,value
2018-06-22,1Y,1,0.0003199934017401165
2018-06-22,2Y,2,0.0007150677243039892
2018-06-22,3Y,3,0.001080343507782655
2018-06-22,4Y,4,0.0014960876295648504
2018-06-22,5Y,5,0.0021129945573414004
2018-06-22,7Y,7,0.0036031950081532047
2018-06-22,10Y,10,0.006350904957089528
2018-06-22,15Y,15,0.010241521049948544
2018-06-22,20Y,20,0.011589494706352368
2018-06-22,25Y,25,0.01146783205196061
2018-06-22,30Y,30,0.011394379695722028
2018-06-25,1Y,1,0.0002899989140313534
2018-06-25,2Y,2,0.0006550573955448324
2018-06-25,3Y,3,0.0010303469761254614
2018-06-25,4Y,4,0.0014860913212529233
2018-06-25,5Y,5,0.002103037143970709
2018-06-25,7Y,7,0.0035408977522842417
2018-06-25,10Y,10,0.006371202991512845
2018-06-25,15Y,15,0.010193686113392305
2018-06-25,20Y,20,0.011525005346622093
2018-06-25,25Y,25,0.011425302643315692
2018-06-25,30Y,30,0.011351939191937504
2018-06-26,1Y,1,0.000309995351646947
2018-06-26,2Y,2,0.0007100697756070353
2018-06-26,3Y,3,0.0011304039200943257
2018-06-26,4Y,4,0.001486036605533949
2018-06-26,5Y,5,0.002042847940920472
2018-06-26,7Y,7,0.0035850416809275983
2018-06-26,10Y,10,0.006340708413493682
2018-06-26,15Y,15,0.010211072998137895
2018-06-26,20Y,20,0.011601590544542685
2018-06-26,25Y,25,0.011512368465319086
2018-06-26,30Y,30,0.01139535751818153
2018-06-27,1Y,1,0.0002999962515233618
2018-06-27,2Y,2,0.0007150758033449511
2018-06-27,3Y,3,0.001080351718765187
2018-06-27,4Y,4,0.0014860879502178537
2018-06-27,5Y,5,0.0021029847135392134
2018-06-27,7Y,7,0.0035850878103734856
2018-06-27,10Y,10,0.006340765356181044
2018-06-27,15Y,15,0.010152976774192227
2018-06-27,20Y,20,0.011510148110783774
2018-06-27,25Y,25,0.011424597188966518
2018-06-27,30Y,30,0.011351445957881118
2018-06-28,1Y,1,0.0002699986512077523
2018-06-28,2Y,2,0.0006700705698609901
2018-06-28,3Y,3,0.0010903920273011662
2018-06-28,4Y,4,0.0015211499033520033
2018-06-28,5Y,5,0.0020930062931534604
2018-06-28,7Y,7,0.0035629833915845482
2018-06-28,10Y,10,0.006354043888334376
2018-06-28,15Y,15,0.010104648232032243
2018-06-28,20Y,20,0.011509456298166004
2018-06-28,25Y,25,0.011357841336934134
2018-06-28,30Y,30,0.011194956895090568
2018-06-29,1Y,1,0.0002699994950181202
2018-06-29,2Y,2,0.0006750722515234904
2018-06-29,3Y,3,0.0010303347866098074
2018-06-29,4Y,4,0.0014710990462634835
2018-06-29,5Y,5,0.002123081902011552
2018-06-29,7Y,7,0.0035932176777282773
2018-06-29,10Y,10,0.006320461122557157
2018-06-29,15Y,15,0.01009408483511892
2018-06-29,20Y,20,0.01151220351243644
2018-06-29,25Y,25,0.011425848478883872
2018-06-29,30Y,30,0.011330886101251242
2018-07-02,1Y,1,0.00025000000103817487
2018-07-02,2Y,2,0.0006350653265706209
2018-07-02,3Y,3,0.0009702988047604625
2018-07-02,4Y,4,0.0014160336237210368
2018-07-02,5Y,5,0.002022784041644617
2018-07-02,7Y,7,0.003472393925735977
2018-07-02,10Y,10,0.0061609276505680145
2018-07-02,15Y,15,0.010022406479461647
2018-07-02,20Y,20,0.011388131109888988
2018-07-02,25Y,25,0.011296413220116349
2018-07-02,30Y,30,0.011167692415056885
2018-07-03,1Y,1,0.0002500007823510219
2018-07-03,2Y,2,0.0006400669404963451
2018-07-03,3Y,3,0.0010103373217413036
2018-07-03,4Y,4,0.0014410535965384778
2018-07-03,5Y,5,0.0020428768711833415
2018-07-03,7Y,7,0.0035126642094649215
2018-07-03,10Y,10,0.006185159167872508
2018-07-03,15Y,15,0.010028042188841254
2018-07-03,20Y,20,0.011462876419780676
2018-07-03,25Y,25,0.011305189508097235
2018-07-03,30Y,30,0.011142431110856027
2018-07-04,1Y,1,0.0002500007823510219
2018-07-04,2Y,2,0.0006550723203556945
2018-07-04,3Y,3,0.0009702928987863719
2018-07-04,4Y,4,0.001401017535748482
2018-07-04,5Y,5,0.002052873625585143
2018-07-04,7Y,7,0.0034945337381417597
2018-07-04,10Y,10,0.00617109465865637
2018-07-04,15Y,15,0.010052798111395382
2018-07-04,20Y,20,0.011348665877140951
2018-07-04,25Y,25,0.011151192518674698
2018-07-04,30Y,30,0.01101998816205842
2018-07-05,1Y,1,0.00017999921284985506
2018-07-05,2Y,2,0.0004850413806198108
2018-07-05,3Y,3,0.0010203982943182933
2018-07-05,4Y,4,0.0015161583940215269
2018-07-05,5Y,5,0.0019827959207019273
2018-07-05,7Y,7,0.0034845597787049707
2018-07-05,10Y,10,0.006123703953323335
2018-07-05,15Y,15,0.009892943677610445
2018-07-05,20Y,20,0.011182660492075933
2018-07-05,25Y,25,0.01096476392112671
2018-07-05,30Y,30,0.010788230266755605
2018-07-06,1Y,1,0.00024000060096440233
2018-07-06,2Y,2,0.0006250653486244461
2018-07-06,3Y,3,0.0009602963042574066
2018-07-06,4Y,4,0.0013559358197420572
2018-07-06,5Y,5,0.0019526208746265148
2018-07-06,7Y,7,0.0033616292458813523
2018-07-06,10Y,10,0.006082616901507434
2018-07-06,15Y,15,0.009850938154840503
2018-07-06,20Y,20,0.01111292330576721
2018-07-06,25Y,25,0.010889580926998143
2018-07-06,30Y,30,0.010734932438897194
2018-07-09,1Y,1,0.0001600021004146121
2018-07-09,2Y,2,0.00048504608636698013
2018-07-09,3Y,3,0.0008602725874428989
2018-07-09,4Y,4,0.0012958846386552582
2018-07-09,5Y,5,0.002103208095159936
2018-07-09,7Y,7,0.003114532654754063
2018-07-09,10Y,10,0.005950563889184915
2018-07-09,15Y,15,0.009726366064505543
2018-07-09,20Y,20,0.010970550943604742
2018-07-09,25Y,25,0.010729029915036607
2018-07-09,30Y,30,0.01061805556256144
2018-07-10,1Y,1,0.00024000060096440233
2018-07-10,2Y,2,0.0006400706408503101
2018-07-10,3Y,3,0.0009803067503185794
2018-07-10,4Y,4,0.001416039942152713
2018-07-10,5Y,5,0.0020528874113725074
2018-07-10,7Y,7,0.003494548913712749
2018-07-10,10Y,10,0.00614385413173388
2018-07-10,15Y,15,0.009855486734782285
2018-07-10,20Y,20,0.011112340485399209
2018-07-10,25Y,25,0.010830707118804484
2018-07-10,30Y,30,0.010630396565333317
2018-07-11,1Y,1,0.0002699969636103856
2018-07-11,2Y,2,0.0006300567358118367
2018-07-11,3Y,3,0.0010103266640182507
2018-07-11,4Y,4,0.0014760973144663928
2018-07-11,5Y,5,0.0020528602192595416
2018-07-11,7Y,7,0.0035347754047097683
2018-07-11,10Y,10,0.006201686304583847
2018-07-11,15Y,15,0.009909777935592978
2018-07-11,20Y,20,0.011215937710525424
2018-07-11,25Y,25,0.010984315464015428
2018-07-11,30Y,30,0.010829584773362022
2018-07-12,1Y,1,0.0002699986512077523
2018-07-12,2Y,2,0.0006550651325431623
2018-07-12,3Y,3,0.0009903036560192304
2018-07-12,4Y,4,0.0014110038248977864
2018-07-12,5Y,5,0.0020127475069790153
2018-07-12,7Y,7,0.003494460458332074
2018-07-12,10Y,10,0.0061710104636038205
2018-07-12,15Y,15,0.009898407767989045
2018-07-12,20Y,20,0.011189078052606046
2018-07-12,25Y,25,0.010930713838066906
2018-07-12,30Y,30,0.010797684427493081
2018-07-13,1Y,1,0.0002699986512077523
2018-07-13,2Y,2,0.0006400598670127965
2018-07-13,3Y,3,0.0010103300960105403
2018-07-13,4Y,4,0.0014510537031670824
2018-07-13,5Y,5,0.002052887043567861
2018-07-13,7Y,7,0.003534800463709935
2018-07-13,10Y,10,0.0062626662270866456
2018-07-13,15Y,15,0.009923563149506057
2018-07-13,20Y,20,0.01122580243625227
2018-07-13,25Y,25,0.01099492828919608
2018-07-13,30Y,30,0.010840149996405306
2018-07-16,1Y,1,0.00019000106927618085
2018-07-16,2Y,2,0.0006650984094956282
2018-07-16,3Y,3,0.001130432277062958
2018-07-16,4Y,4,0.0015011684184550436
2018-07-16,5Y,5,0.002103105239830692
2018-07-16,7Y,7,0.0035409802294229997
2018-07-16,10Y,10,0.006316763762525433
2018-07-16,15Y,15,0.009993216625142687
2018-07-16,20Y,20,0.011248552615173442
2018-07-16,25Y,25,0.011026623031274293
2018-07-16,30Y,30,0.010871742652713063
2018-07-17,1Y,1,0.0002699986512077523
2018-07-17,2Y,2,0.0006550651325431623
2018-07-17,3Y,3,0.0010303410914311608
2018-07-17,4Y,4,0.001461068336764273
2018-07-17,5Y,5,0.0021231127454475023
2018-07-17,7Y,7,0.003089630484974485
2018-07-17,10Y,10,0.006222629260133022
2018-07-17,15Y,15,0.009910962420003604
2018-07-17,20Y,20,0.011205203410068467
2018-07-17,25Y,25,0.01099458961278131
2018-07-17,30Y,30,0.01084000969678458
2018-07-18,1Y,1,0.0002899961951106809
2018-07-18,2Y,2,0.0006550577697979397
2018-07-18,3Y,3,0.0010303335907521042
2018-07-18,4Y,4,0.001471068305777713
2018-07-18,5Y,5,0.0021030224304106537
2018-07-18,7Y,7,0.003593182640104214
2018-07-18,10Y,10,0.006313786743716172
2018-07-18,15Y,15,0.009975768484874727
2018-07-18,20Y,20,0.01130595456644122
2018-07-18,25Y,25,0.011080558966803877
2018-07-18,30Y,30,0.0109038864934686
2018-07-19,1Y,1,0.0002599969134794254
2018-07-19,2Y,2,0.0006300605201525877
2018-07-19,3Y,3,0.0009602784638106553
2018-07-19,4Y,4,0.0013509157879234214
2018-07-19,5Y,5,0.002052904424865061
2018-07-19,7Y,7,0.0034945554602496165
2018-07-19,10Y,10,0.006259320850878594
2018-07-19,15Y,15,0.009895381682362885
2018-07-19,20Y,20,0.011234059960567214
2018-07-19,25Y,25,0.011040740780656333
2018-07-19,30Y,30,0.01089800075322494
2018-07-20,1Y,1,0.0002599969134794254
2018-07-20,2Y,2,0.000855157627904655
2018-07-20,3Y,3,0.0015207730895418063
2018-07-20,4Y,4,0.0020020403094479404
2018-07-20,5Y,5,0.0026046553286756787
2018-07-20,7Y,7,0.0028265868804387053
2018-07-20,10Y,10,0.006747161137772956
2018-07-20,15Y,15,0.010492291509058919
2018-07-20,20Y,20,0.011871774783422896
2018-07-20,25Y,25,0.011669641079875614
2018-07-20,30Y,30,0.011516213019970507
2018-07-23,1Y,1,0.000349992346036452
2018-07-23,2Y,2,0.0008451087669770959
2018-07-23,3Y,3,0.0013105173406696322
2018-07-23,4Y,4,0.0018116287189499129
2018-07-23,5Y,5,0.0026046090261134984
2018-07-23,7Y,7,0.0043593115471260435
2018-07-23,10Y,10,0.0067240735740209875
2018-07-23,15Y,15,0.01174334600167239
2018-07-23,20Y,20,0.012405191194526665
2018-07-23,25Y,25,0.012442525676546324
2018-07-23,30Y,30,0.012416178594230696
2018-07-24,1Y,1,0.0002899952888207203
2018-07-24,2Y,2,0.0006800669274620183
2018-07-24,3Y,3,0.001110394286001023
2018-07-24,4Y,4,0.0016914733293596363
2018-07-24,5Y,5,0.00250431279158755
2018-07-24,7Y,7,0.004319243885392916
2018-07-24,10Y,10,0.007042784173521248
2018-07-24,15Y,15,0.011771296024596464
2018-07-24,20Y,20,0.013022291454981353
2018-07-24,25Y,25,0.013050781568933781
2018-07-24,30Y,30,0.013053530073946672
2018-07-25,1Y,1,0.00026999527604444146
2018-07-25,2Y,2,0.0006500640933564703
2018-07-25,3Y,3,0.0010903845223313071
2018-07-25,4Y,4,0.0016213436836537826
2018-07-25,5Y,5,0.0024240817595638474
2018-07-25,7Y,7,0.0042385166523415336
2018-07-25,10Y,10,0.007172829122464181
2018-07-25,15Y,15,0.011129009091555413
2018-07-25,20Y,20,0.012627392753613043
2018-07-25,25Y,25,0.012515056568950017
2018-07-25,30Y,30,0.012456926593357537
2018-07-26,1Y,1,0.0003099934140691515
2018-07-26,2Y,2,0.0007150720975000267
2018-07-26,3Y,3,0.001130391167921153
2018-07-26,4Y,4,0.001721528434314059
2018-07-26,5Y,5,0.0025845617005302917
2018-07-26,7Y,7,0.004500824329946962
2018-07-26,10Y,10,0.0076155013189064995
2018-07-26,15Y,15,0.011832954348186252
2018-07-26,20Y,20,0.012828139453499305
2018-07-26,25Y,25,0.012784630391595947
2018-07-26,30Y,30,0.012703395583789407
2018-07-27,1Y,1,0.0003399923520798037
2018-07-27,2Y,2,0.0007400686552325714
2018-07-27,3Y,3,0.0012405015836765149
2018-07-27,4Y,4,0.0018918052310955798
2018-07-27,5Y,5,0.0026849312841645745
2018-07-27,7Y,7,0.004662294396295018
2018-07-27,10Y,10,0.007981339272101587
2018-07-27,15Y,15,0.011517664863775558
2018-07-27,20Y,20,0.013182803523398826
2018-07-27,25Y,25,0.013067780488980184
2018-07-27,30Y,30,0.012977435340840983
2018-07-30,1Y,1,0.0003599923525079095
2018-07-30,2Y,2,0.000830096826039232
2018-07-30,3Y,3,0.0013605930863049892
2018-07-30,4Y,4,0.001976955801046333
2018-07-30,5Y,5,0.0026949084328181886
2018-07-30,7Y,7,0.004914333629580265
2018-07-30,10Y,10,0.00829807903551169
2018-07-30,15Y,15,0.011580961832533695
2018-07-30,20Y,20,0.014007819476987253
2018-07-30,25Y,25,0.0132784707565065
2018-07-30,30Y,30,0.013206965852970275
2018-07-31,1Y,1,0.00031999540182996487
2018-07-31,2Y,2,0.0007700893911063406
2018-07-31,3Y,3,0.0012004458506615647
2018-07-31,4Y,4,0.0017766205486865181
2018-07-31,5Y,5,0.0025644630244068076
2018-07-31,7Y,7,0.004339303434894098
2018-07-31,10Y,10,0.007274791209279645
2018-07-31,15Y,15,0.011134615658042586
2018-07-31,20Y,20,0.012575935872906556
2018-07-31,25Y,25,0.012372718272859023
2018-07-31,30Y,30,0.012221650282033055
2018-08-01,1Y,1,0.0004499915676409471
2018-08-01,2Y,2,0.0010351492461209567
2018-08-01,3Y,3,0.001730995754771339
2018-08-01,4Y,4,0.0024930783524777303
2018-08-01,5Y,5,0.0033174655477253095
2018-08-01,7Y,7,0.005237929065169227
2018-08-01,10Y,10,0.008199184853658698
2018-08-01,15Y,15,0.010940465124117935
2018-08-01,20Y,20,0.013903825156560705
2018-08-01,25Y,25,0.013417958141299535
2018-08-01,30Y,30,0.012910434113729035
2018-08-02,1Y,1,0.0004299914044192745
2018-08-02,2Y,2,0.0010351616955884826
2018-08-02,3Y,3,0.0015707415290093375
2018-08-02,4Y,4,0.0022425419424830168
2018-08-02,5Y,5,0.003166730289963595
2018-08-02,7Y,7,0.005066077254604672
2018-08-02,10Y,10,0.007960512596928261
2018-08-02,15Y,15,0.011507785303223453
2018-08-02,20Y,20,0.013684555856702257
2018-08-02,25Y,25,0.01307433557684222
2018-08-02,30Y,30,0.012910620723035619
2018-08-03,1Y,1,0.00038999244701718816
2018-08-03,2Y,2,0.0008901089494352764
2018-08-03,3Y,3,0.001410625656338383
2018-08-03,4Y,4,0.002142349815474119
2018-08-03,5Y,5,0.002975947316499729
