language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,exchange,fiftyTwoWeekHigh,fiftyTwoWeekLow,dividendYield,financialCurrency,shortName,regularMarketChangePercent,bid,marketCap,ask,esgPopulated,tradeable,cryptoTradeable,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingPE,dividendRate,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,symbol,earningsTimestamp,averageAnalystRating,prevName,nameChangeDate
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,3242.0,1835.5,1.58,JPY,MISUMI GROUP INC,-5.797837,2786.0,742391218176,2796.0,false,false,false,false,978307200000,2,-171.5,1773901800,2786.5,2871.5,2786.5 - 2871.5,2786.5,1694600,2958.0,0,0,jp_market,finmb_2445542,Tokyo,MISUMI Group Inc.,2836.5,1262744,1331780,951.0,0.518115,1835.5 - 3242.0,-455.5,-0.1404997,6.476879,1777012200,1777012200,1745578740,1745578740,true,41.4,23.696743,44.06,0.013995944,CLOSED,117.59,140.45,266424273,1365.096,2844.07,-57.57007,-0.020242142,2372.2776,414.2224,0.17460959,19.839802,2.0412486,15,20,Asia/Tokyo,JST,32400000,9962.T,1769754600,1.8 - Buy,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,4590.0,1940.0,2.94,JPY,TOTECH CORP,-4.784689,3975.0,163204710400,3995.0,false,false,false,false,946944000000,2,-200.0,1773901800,3980.0,4095.0,3980.0 - 4095.0,3980.0,49700,4180.0,0,0,jp_market,finmb_884071,Tokyo,Totech Corporation,4065.0,76165,68310,2040.0,1.0515463,1940.0 - 4590.0,-610.0,-0.1328976,51.38836,1754548200,1754980200,,,true,120.0,13.793104,117.0,0.028708134,CLOSED,288.55,255.2,41006207,1689.255,4163.0,-183.0,-0.043958683,3410.84,569.1599,0.16686796,15.595612,2.3560681,15,20,Asia/Tokyo,JST,32400000,9960.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,1459.0,606.0,1.74,JPY,ASEED HOLDINGS,-8.08,1147.0,14174098432,1149.0,false,false,false,false,983232000000,2,-101.0,1773901800,1149.0,1459.0,1149.0 - 1459.0,1149.0,199300,1250.0,0,0,jp_market,finmb_5705369,Tokyo,"Aseed Holdings Co.,Ltd.",1265.0,19979,56430,543.0,0.8960396,606.0 - 1459.0,-310.0,-0.2124743,54.43548,1747112400,1747112400,,,false,19.0,17.0652,20.0,0.0152,CLOSED,67.33,,12336030,623.539,940.16,208.84003,0.22213244,751.705,397.29498,0.5285251,,1.8427075,15,20,Asia/Tokyo,JST,32400000,9959.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,3800.0,2170.0,1.94,JPY,VALOR HOLDINGS CO LTD,-1.904762,3600.0,189872324608,3630.0,false,false,false,false,1070323200000,2,-70.0,1773901800,3605.0,3660.0,3605.0 - 3660.0,3605.0,225600,3675.0,0,0,jp_market,finmb_5482760,Tokyo,"Valor Holdings Co., Ltd.",3630.0,112262,118790,1435.0,0.66129035,2170.0 - 3800.0,-195.0,-0.05131579,50.0208,1778653800,1778653800,1747220340,1747220340,true,74.0,13.985878,70.0,0.020136055,CLOSED,257.76,263.23,52669161,3466.555,3560.2,44.80005,0.012583577,3035.69,569.31006,0.18753894,13.695247,1.0399374,15,20,Asia/Tokyo,JST,32400000,9956.T,1770877800,1.0 - Strong Buy,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,3195.0,1998.0,0.55,JPY,YONKYU CO LTD,0.4909984,3045.0,37622960128,3075.0,false,false,false,false,946944000000,2,15.0,1773895581,3070.0,3070.0,3045.0 - 3070.0,3045.0,1600,3055.0,0,0,jp_market,finmb_881019,Tokyo,"The Yonkyu Co.,Ltd.",3050.0,4818,3680,1072.0,0.5365365,1998.0 - 3195.0,-125.0,-0.039123632,39.672436,1746599400,1746599400,,,false,17.0,11.235954,17.0,0.005564648,CLOSED,273.23,,12255036,3278.815,3069.34,0.6599121,0.0002150013,2666.335,403.66504,0.15139322,,0.9363139,15,20,Asia/Tokyo,JST,32400000,9955.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,3535.0,3285.0,0.59,JPY,HACHI-BAN CO,0.0,3375.0,9921780736,3400.0,false,false,false,false,946944000000,2,0.0,1773901200,3375.0,3390.0,3365.0 - 3390.0,3365.0,5700,3375.0,0,0,jp_market,finmb_5397357,Tokyo,"Hachi-Ban Co., Ltd.",3370.0,1991,5020,90.0,0.02739726,3285.0 - 3535.0,-160.0,-0.04526167,-1.4598548,1746000000,1746000000,,,false,10.0,99.00264,20.0,0.002962963,CLOSED,34.09,,2939787,1296.684,3475.6,-100.6001,-0.02894467,3438.65,-63.649902,-0.018510142,,2.602793,15,20,Asia/Tokyo,JST,32400000,9950.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,4035.0,2666.0,2.17,JPY,ARCS COMPANY LIMITED,-1.3351135,3690.0,196878204928,3715.0,false,false,false,false,1078358400000,2,-50.0,1773901800,3695.0,3730.0,3690.0 - 3730.0,3690.0,159100,3745.0,0,0,jp_market,finmb_5875188,Tokyo,ARCS Company Limited,3700.0,145520,76250,1029.0,0.3859715,2666.0 - 4035.0,-340.0,-0.0842627,24.915482,1775716200,1775716200,1729076340,1729076340,true,77.0,16.920822,80.0,0.020560747,CLOSED,218.37,222.3,53282326,3521.15,3631.5,63.5,0.017485887,3262.525,432.4751,0.1325584,16.621683,1.0493731,15,20,Asia/Tokyo,JST,32400000,9948.T,1767853800,3.0 - Hold,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,2198.0,1636.0,1.12,JPY,MINISTOP CO LTD,-1.3812155,1782.0,51779289088,1789.0,false,false,false,false,978307200000,2,-25.0,1773901800,1785.0,1813.0,1777.0 - 1813.0,1777.0,66100,1810.0,0,0,jp_market,finmb_881879,Tokyo,"MINISTOP Co., Ltd.",1805.0,122505,92460,149.0,0.09107579,1636.0 - 2198.0,-413.0,-0.18789808,-1.976937,1751954400,1752472800,,,true,20.0,,20.0,0.011049724,CLOSED,-192.6,-25.2,29008006,1027.303,1981.78,-196.78003,-0.09929459,1995.74,-210.73999,-0.10559491,-70.83333,1.7375594,15,20,Asia/Tokyo,JST,32400000,9946.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,1228.0,1210.0,,,JOYFULL CO LTD,-0.40816325,1216.0,,1220.0,false,false,false,false,,2,-5.0,1773901800,1220.0,1228.0,1210.0 - 1228.0,1210.0,9300,1225.0,,,jp_market,,Tokyo,,1228.0,,,10.0,0.008264462,1210.0 - 1228.0,-8.0,-0.0065146578,,,,,,,,,,,CLOSED,,,,,,,,,,,,,15,20,Asia/Tokyo,JST,32400000,9942@F.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,1058.0,603.0,,JPY,TAIYO BUSSAN KAISHA,-2.1712906,811.0,1567821952,812.0,false,false,false,false,946944000000,2,-18.0,1773901800,811.0,829.0,796.0 - 829.0,796.0,8100,829.0,0,0,jp_market,finmb_2909280,Tokyo,"Taiyo Bussan Kaisha,Ltd.",803.0,11941,17140,208.0,0.34494194,603.0 - 1058.0,-247.0,-0.23345935,-8.773905,1754978400,1755496800,,,true,0.0,11.025014,,0.0,CLOSED,73.56,,1933196,540.556,720.94,90.06,0.12492024,818.62,-7.619995,-0.009308342,,1.500307,15,20,Asia/Tokyo,JST,32400000,9941.T,,,,
