date,tenor,term,value
2012-06-01,15Y,15,0.02476815106227622
2012-06-01,20Y,20,0.023846341565649614
2012-06-01,25Y,25,0.02148913134939346
2012-06-01,30Y,30,0.020493716777590352
2012-07-01,1Y,1,0.0028178289503465724
2012-07-01,2Y,2,0.002742961054611545
2012-07-01,3Y,3,0.003138670785198417
2012-07-01,4Y,4,0.004243676506348681
2012-07-01,5Y,5,0.005906562764373136
2012-07-01,7Y,7,0.010652533804572227
2012-07-01,10Y,10,0.017817968727439886
2012-07-01,15Y,15,0.023938361855105155
2012-07-01,20Y,20,0.022105267831989298
2012-07-01,25Y,25,0.019705598162172565
2012-07-01,30Y,30,0.018764772345220428
2012-08-01,1Y,1,0.002897745675041696
2012-08-01,2Y,2,0.0027828066623291326
2012-08-01,3Y,3,0.0033591279842140258
2012-08-01,4Y,4,0.004609827990602599
2012-08-01,5Y,5,0.006390493384103358
2012-08-01,7Y,7,0.011288118579399955
2012-08-01,10Y,10,0.0187310725286949
2012-08-01,15Y,15,0.024620653197872513
2012-08-01,20Y,20,0.023547364401376954
2012-08-01,25Y,25,0.02098653390535305
2012-08-01,30Y,30,0.019989395116899067
2012-09-01,1Y,1,0.002598068023980114
2012-09-01,2Y,2,0.002448211810080976
2012-09-01,3Y,3,0.0029991592915822084
2012-09-01,4Y,4,0.00410375790141159
2012-09-01,5Y,5,0.005877697936483673
2012-09-01,7Y,7,0.010849916049669641
2012-09-01,10Y,10,0.01832181307647597
2012-09-01,15Y,15,0.0242640982676892
2012-09-01,20Y,20,0.023024875293695797
2012-09-01,25Y,25,0.020580410319639503
2012-09-01,30Y,30,0.0196772562769162
2012-10-01,1Y,1,0.0024483017739459338
2012-10-01,2Y,2,0.002318418477728474
2012-10-01,3Y,3,0.0028493147248635936
2012-10-01,4Y,4,0.004054211680902781
2012-10-01,5Y,5,0.005999360555331367
2012-10-01,7Y,7,0.011186174441931524
2012-10-01,10Y,10,0.018920142094705848
2012-10-01,15Y,15,0.02573713081230761
2012-10-01,20Y,20,0.02479977267784867
2012-10-01,25Y,25,0.022622744624924786
2012-10-01,30Y,30,0.021918039726089585
2012-11-01,1Y,1,0.0022984559564380885
2012-11-01,2Y,2,0.0021585991397185386
2012-11-01,3Y,3,0.0025590972214377867
2012-11-01,4Y,4,0.0034624161135334793
2012-11-01,5Y,5,0.005204026347406622
2012-11-01,7Y,7,0.010493509401562866
