date,tenor,term,value
2011-12-01,5Y,5,0.976475579095572
2011-12-01,7Y,7,0.9551179633848994
2011-12-01,10Y,10,0.9070008989607001
2011-12-01,15Y,15,0.8119182970303178
2011-12-01,20Y,20,0.7219213092299986
2011-12-01,25Y,25,0.6503972133278546
2011-12-01,30Y,30,0.5905901197916316
2012-01-01,1Y,1,0.996598648112358
2012-01-01,2Y,2,0.9929927482568431
2012-01-01,3Y,3,0.988933917511357
2012-01-01,4Y,4,0.9839366340386185
2012-01-01,5Y,5,0.977271771256172
2012-01-01,7Y,7,0.9564243909500755
2012-01-01,10Y,10,0.9073192324058443
2012-01-01,15Y,15,0.8058913400772874
2012-01-01,20Y,20,0.7134584385532594
2012-01-01,25Y,25,0.6375690397671587
2012-01-01,30Y,30,0.5742706217298694
2012-02-01,1Y,1,0.9966981783654496
2012-02-01,2Y,2,0.9932879771877161
2012-02-01,3Y,3,0.9893932962290574
2012-02-01,4Y,4,0.9843408181887334
2012-02-01,5Y,5,0.9774577994740271
2012-02-01,7Y,7,0.9559508409263855
2012-02-01,10Y,10,0.9048311254160469
2012-02-01,15Y,15,0.8002679731724158
2012-02-01,20Y,20,0.7048067347374584
2012-02-01,25Y,25,0.6260827487299268
2012-02-01,30Y,30,0.5604492433907672
2012-03-01,1Y,1,0.9966484168680207
2012-03-01,2Y,2,0.9930844100120222
2012-03-01,3Y,3,0.9888587428393287
2012-03-01,4Y,4,0.9833524489374583
2012-03-01,5Y,5,0.9758883267778915
2012-03-01,7Y,7,0.9530080900645556
2012-03-01,10Y,10,0.9006662106759548
2012-03-01,15Y,15,0.7941605956991734
2012-03-01,20Y,20,0.6970820141438545
2012-03-01,25Y,25,0.6170944052541766
2012-03-01,30Y,30,0.5505441869572022
2012-04-01,1Y,1,0.9967230603903217
2012-04-01,2Y,2,0.993359934974293
2012-04-01,3Y,3,0.9896608786828667
2012-04-01,4Y,4,0.9850793684231031
2012-04-01,5Y,5,0.9788394792217836
2012-04-01,7Y,7,0.9589570305218377
2012-04-01,10Y,10,0.9105814862478165
2012-04-01,15Y,15,0.809408608957491
2012-04-01,20Y,20,0.7142411678768543
2012-04-01,25Y,25,0.6350088483792269
2012-04-01,30Y,30,0.5688763254336554
2012-05-01,1Y,1,0.9966583981165912
2012-05-01,2Y,2,0.9932832139229292
2012-05-01,3Y,3,0.9896118204519528
2012-05-01,4Y,4,0.9851644563903177
2012-05-01,5Y,5,0.979423239212325
2012-05-01,7Y,7,0.9617304861117192
2012-05-01,10Y,10,0.9182973399041937
2012-05-01,15Y,15,0.8231212614492124
2012-05-01,20Y,20,0.7347068618670058
2012-05-01,25Y,25,0.6626251085364074
2012-05-01,30Y,30,0.6026471972534224
2012-06-01,1Y,1,0.996772847104959
2012-06-01,2Y,2,0.9935187695666721
2012-06-01,3Y,3,0.9899874916201394
2012-06-01,4Y,4,0.9857259182810744
2012-06-01,5Y,5,0.9801285808184365
2012-06-01,7Y,7,0.9626211503312735
2012-06-01,10Y,10,0.9189466383679595
2012-06-01,15Y,15,0.8203020043518557
2012-06-01,20Y,20,0.7264257960743965
2012-06-01,25Y,25,0.6485879768268766
2012-06-01,30Y,30,0.5839647002759616
2012-07-01,1Y,1,0.9970814991077166
2012-07-01,2Y,2,0.9943130691384265
2012-07-01,3Y,3,0.9913932728313625
2012-07-01,4Y,4,0.9877406135571323
2012-07-01,5Y,5,0.9827404108206165
2012-07-01,7Y,7,0.966462950990473
2012-07-01,10Y,10,0.9259435064250133
2012-07-01,15Y,15,0.8310797205327788
2012-07-01,20Y,20,0.7407155283972702
2012-07-01,25Y,25,0.6671997553103907
2012-07-01,30Y,30,0.606020344952693
2012-08-01,1Y,1,0.9970217478889826
2012-08-01,2Y,2,0.9941939485453628
2012-08-01,3Y,3,0.9911454946633046
